sku,product_type,attribute_set_code,name,price,wee_tax_variations
TST-Conf-Simp-S-Gray,simple,Default,Test Configurable-simple product-S-Gray,68,"name=fixed_product_tax,country=DE,state=81,value=10.0000||name=fixed_product_tax,country=RU,state=0,value=15.0000"
TST-Conf-Simp-S-Green,simple,Default,Test Configurable-simple product-S-Green,68,"name=fixed_product_tax,country=DE,state=81,value=10.0000||name=fixed_product_tax,country=RU,state=0,value=15.0000"
TST-Conf-Simp-S-Purple,simple,Default,Test Configurable-simple product-S-Purple,68,"name=fixed_product_tax,country=DE,state=81,value=10.0000||name=fixed_product_tax,country=RU,state=0,value=15.0000"
TST-Conf-Simp-M-Gray,simple,Default,Test Configurable-simple product-M-Gray,68,"name=fixed_product_tax,country=DE,state=81,value=10.0000||name=fixed_product_tax,country=RU,state=0,value=15.0000"
TST-Conf-Simp-M-Green,simple,Default,Test Configurable-simple product-M-Green,68,"name=fixed_product_tax,country=DE,state=81,value=10.0000||name=fixed_product_tax,country=RU,state=0,value=15.0000"
TST-Conf-Simp-M-Purple,simple,Default,Test Configurable-simple product-M-Purple,68,"name=fixed_product_tax,country=DE,state=81,value=10.0000||name=fixed_product_tax,country=RU,state=0,value=15.0000"
TST-Conf-Simp-L-Gray,simple,Default,Test Configurable-simple product-L-Gray,68,"name=fixed_product_tax,country=DE,state=81,value=10.0000||name=fixed_product_tax,country=RU,state=0,value=15.0000"
TST-Conf-Simp-L-Green,simple,Default,Test Configurable-simple product-L-Green,68,"name=fixed_product_tax,country=DE,state=81,value=10.0000||name=fixed_product_tax,country=RU,state=0,value=15.0000"
TST-Conf-Simp-L-Purple,simple,Default,Test Configurable-simple product-L-Purple,68,"name=fixed_product_tax,country=DE,state=81,value=10.0000||name=fixed_product_tax,country=RU,state=0,value=15.0000"
TST-Conf,configurable,Default,Test Configurable product,68,"name=fixed_product_tax,country=DE,state=81,value=10.0000||name=fixed_product_tax,country=RU,state=0,value=15.0000"
TST-GrpBnd-Simple-1,simple,Default,Test Bundle and Grouped - simple product 1,14,"name=fixed_product_tax,country=US,state=1,value=20.5000||name=fixed_product_tax,country=ES,state=139,value=5.0000"
TST-GrpBnd-Simple-2,simple,Default,Test Bundle and Grouped - simple product 2,17,"name=fixed_product_tax,country=US,state=1,value=20.5000||name=fixed_product_tax,country=ES,state=139,value=5.0000"
TST-GrpBnd-Simple-3,simple,Default,Test Bundle and Grouped - simple product 3,21,"name=fixed_product_tax,country=US,state=1,value=20.5000||name=fixed_product_tax,country=ES,state=139,value=5.0000"
TST-GrpBnd-Grouped,grouped,Default,Test Grouped product,,"name=fixed_product_tax,country=US,state=1,value=20.5000||name=fixed_product_tax,country=ES,state=139,value=5.0000"
TST-GrpBnd-Bundle-DynamicPrice,bundle,Default,Test Bundle product with dynamic price,14,"name=fixed_product_tax,country=US,state=1,value=20.5000||name=fixed_product_tax,country=ES,state=139,value=5.0000"
TST-GrpBnd-Bundle-FixedPrice,bundle,Default,Test Bundle product with fixed price,14,"name=fixed_product_tax,country=US,state=1,value=20.5000||name=fixed_product_tax,country=ES,state=139,value=5.0000"
